79.84.128.88:8002 - - [19/Apr/2023:15:30:54 +0000] GET /upload/index.html HTTP/1.1 /upload/index.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1"
79.84.128.88:8002 - - [19/Apr/2023:15:30:57 +0000] GET /upload/index.html HTTP/1.1 /upload/index.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1"
localhost:8002 - - [19/Apr/2023:15:31:10 +0000] GET /upload/index.html HTTP/1.1 /upload/index.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8002 - - [19/Apr/2023:15:31:38 +0000] GET /upload/index.html HTTP/1.1 /upload/index.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8002 - - [19/Apr/2023:15:31:41 +0000] GET /upload/upload.html HTTP/1.1 /upload/upload.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8002 - - [19/Apr/2023:15:31:43 +0000] GET /upload/delete.php HTTP/1.1 /upload/delete.php HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8002 - - [19/Apr/2023:15:31:44 +0000] GET /upload/aboutus.html HTTP/1.1 /upload/aboutus.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8002 - - [19/Apr/2023:15:31:46 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8002 - - [19/Apr/2023:22:28:44 +0000] LOGIN 400 203 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8002 - - [19/Apr/2023:22:29:01 +0000] LOGIN 400 206 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8002 - - [19/Apr/2023:22:29:19 +0000] REGISTER 400 213 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8002 - - [19/Apr/2023:22:30:05 +0000] GET /delete.php HTTP/1.1 /delete.php HTTP/1.1" 500 136 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
